outer_fold,repeat,split,algorithm,roc_auc,pr_auc,macro_f1,balanced_accuracy,mcc,train_time_sec,latency_ms_sample,best_params
4,1,4,Logistic_Regression,0.7795052453245117,0.4314891152226465,0.5951447719131454,0.5699315400206698,0.3058086164838522,11.63946270942688,0.003601611565298649,"{'model__C': 0.001, 'model__class_weight': None}"
4,1,4,Decision_Tree,0.7470762713364133,0.3815898253573879,0.6338076215505913,0.60062490266773,0.3283072641201457,6.580127000808716,0.0022785404485576284,"{'model__max_depth': 4, 'model__min_samples_split': 2}"
4,1,4,Random_Forest,0.7931698111871941,0.46660227039526303,0.6241642458564806,0.5911750453037474,0.33224259487585867,102.04129791259766,0.008107042341573932,"{'model__max_depth': 8, 'model__min_samples_split': 15, 'model__n_estimators': 100}"
4,1,4,Neural_Network_MLP,0.7889601905116963,0.45223814560571657,0.6445396591977199,0.6080484054024718,0.3535830604605731,69.00448989868164,0.008222270750174322,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32,)}"
5,1,5,Logistic_Regression,0.7802003599524311,0.4356638821910838,0.5949548474256147,0.5699913403774368,0.2994911705232386,10.722071170806885,0.003209140131382343,"{'model__C': 0.001, 'model__class_weight': None}"
5,1,5,Decision_Tree,0.7541027026516849,0.3977930295341493,0.6277239429803335,0.5938005832857487,0.33800066032584697,7.75192403793335,0.0021424956515693778,"{'model__max_depth': 4, 'model__min_samples_split': 2}"
5,1,5,Random_Forest,0.801840420499002,0.46653124477089547,0.626904518965411,0.5934584456095477,0.3337042960083773,101.21952891349792,0.008961498628765725,"{'model__max_depth': 8, 'model__min_samples_split': 5, 'model__n_estimators': 200}"
5,1,5,Neural_Network_MLP,0.7922648422863291,0.44852432806285447,0.6286297241409653,0.5944078039244372,0.34018871683520735,66.87343502044678,0.0032534943831350562,"{'model__alpha': 0.0001, 'model__hidden_layer_sizes': (32, 16)}"
6,2,1,Logistic_Regression,0.7791701023205556,0.4339974298418805,0.5905922472719887,0.5669044198139026,0.30018567848994804,11.675435543060303,0.006662664510718591,"{'model__C': 0.001, 'model__class_weight': None}"
6,2,1,Decision_Tree,0.7518633630126643,0.39921132989737573,0.6291195465009445,0.5950756020799124,0.3376527602288672,6.56992506980896,0.0021155161901606464,"{'model__max_depth': 4, 'model__min_samples_split': 2}"
6,2,1,Random_Forest,0.7977465207000358,0.4690212634738687,0.6265522790590283,0.5923987411056376,0.3425899511459875,98.56098127365112,0.006648885097939045,"{'model__max_depth': 8, 'model__min_samples_split': 15, 'model__n_estimators': 100}"
6,2,1,Neural_Network_MLP,0.7917432684776248,0.46773094203860305,0.6360430644873771,0.6010536398467433,0.34220908476932055,67.12949252128601,0.00326207333713437,"{'model__alpha': 0.1, 'model__hidden_layer_sizes': (32, 16)}"
7,2,2,Logistic_Regression,0.772249486162554,0.4278871209670059,0.5819186623851221,0.5615092650161281,0.27584714241913744,10.59968876838684,0.0032437086539624602,"{'model__C': 0.001, 'model__class_weight': None}"
